zone,gender,education,customer lifetime value,income,monthly premium auto,number of open complaints,policy type,vehicle class,total claim amount
Central,M,College,8107.0,0.0,76.0,0.0,Corporate Auto,Two-Door Car,364.8
East,F,College,8662.0,0.0,117.0,0.0,Personal Auto,SUV,511.422666
North West,M,High School or Below,8696.0,91423.0,109.0,1.0,Personal Auto,SUV,435.796252
North West,M,Bachelor,2535.0,86933.0,63.0,0.0,Corporate Auto,Two-Door Car,269.563038
West,M,Doctor,5633.0,65255.0,72.0,2.0,Personal Auto,Four-Door Car,321.457124
North West,M,High School or Below,5176.0,41533.0,65.0,0.0,Corporate Auto,Four-Door Car,232.879766
West,M,College,5531.0,50097.0,71.0,0.0,Personal Auto,Four-Door Car,17.484679
West,F,Bachelor,2810.0,73858.0,72.0,3.0,Personal Auto,Four-Door Car,422.59237
North West,F,College,2780.0,94943.0,69.0,0.0,Personal Auto,Four-Door Car,387.545055
West,F,College,2572.0,72685.0,68.0,5.0,Personal Auto,Four-Door Car,14.464783
West,M,College,7664.0,60184.0,199.0,1.0,Personal Auto,Luxury Vehicle,161.61574
West,F,High School or Below,3839.0,0.0,106.0,0.0,Corporate Auto,SUV,763.2
West,M,High School or Below,2509.0,74045.0,64.0,0.0,Personal Auto,Four-Door Car,307.2
Central,M,High School or Below,14566.0,52564.0,122.0,0.0,Personal Auto,SUV,42.131925
East,M,Bachelor,3220.0,19098.0,87.0,0.0,Personal Auto,Two-Door Car,417.6
Central,M,College,3199.0,78784.0,80.0,0.0,Personal Auto,Four-Door Car,239.964694
East,F,College,16045.0,0.0,65.0,0.0,Personal Auto,Two-Door Car,163.046956
North West,M,College,4918.0,29256.0,63.0,0.0,Personal Auto,Four-Door Car,302.4
Central,F,High School or Below,5623.0,77912.0,71.0,1.0,Corporate Auto,Four-Door Car,23.89816
North West,M,College,5677.0,45345.0,72.0,0.0,Personal Auto,Four-Door Car,99.039453
North West,M,College,3016.0,25630.0,86.0,0.0,Corporate Auto,Two-Door Car,412.8
West,M,College,5279.0,22280.0,68.0,0.0,Personal Auto,Four-Door Car,169.414572
Central,M,High School or Below,4803.0,0.0,69.0,0.0,Corporate Auto,Four-Door Car,496.8
Central,M,Master,2608.0,61567.0,65.0,0.0,Personal Auto,Four-Door Car,39.532978
Central,M,High School or Below,7832.0,34644.0,66.0,0.0,Personal Auto,Four-Door Car,316.8
West,M,College,4260.0,26991.0,119.0,0.0,Corporate Auto,SUV,856.8
Central,M,Bachelor,2369.0,49746.0,61.0,0.0,Personal Auto,Two-Door Car,624.42874
West,M,High School or Below,20604.0,0.0,72.0,1.0,Special Auto,Two-Door Car,723.010515
Central,F,College,2652.0,49625.0,66.0,0.0,Corporate Auto,Two-Door Car,261.549577
Central,F,College,2597.0,49308.0,65.0,0.0,Corporate Auto,Four-Door Car,150.235884
West,F,Master,7712.0,63624.0,95.0,0.0,Personal Auto,Four-Door Car,175.243467
North West,F,Master,4698.0,80358.0,116.0,0.0,Personal Auto,SUV,443.637243
East,M,College,3403.0,38460.0,88.0,1.0,Personal Auto,Four-Door Car,91.55098
West,M,High School or Below,4355.0,0.0,64.0,0.0,Personal Auto,Two-Door Car,460.8
West,F,Bachelor,11095.0,0.0,101.0,0.0,Personal Auto,SUV,727.2
North West,F,High School or Below,3300.0,0.0,92.0,0.0,Personal Auto,Four-Door Car,711.323244
West,M,College,6981.0,34835.0,89.0,2.0,Personal Auto,Two-Door Car,294.691896
North West,F,Bachelor,16922.0,93836.0,139.0,0.0,Corporate Auto,Sports Car,497.353106
North West,M,Master,7639.0,34075.0,196.0,0.0,Special Auto,Luxury Vehicle,451.896687
North West,M,Bachelor,19237.0,35624.0,66.0,2.0,Personal Auto,Four-Door Car,227.44626
North West,F,Doctor,2915.0,83218.0,72.0,0.0,Personal Auto,Four-Door Car,245.103885
Central,F,Bachelor,4196.0,24641.0,105.0,0.0,Personal Auto,SUV,504.0
North West,M,Bachelor,16473.0,22828.0,106.0,0.0,Corporate Auto,SUV,508.8
North West,M,College,2657.0,0.0,71.0,0.0,Personal Auto,Four-Door Car,340.8
West,M,Master,3267.0,28729.0,90.0,3.0,Personal Auto,Four-Door Car,338.744392
Central,M,Bachelor,2584.0,72731.0,65.0,0.0,Personal Auto,Four-Door Car,125.704164
West,F,College,5503.0,59932.0,71.0,1.0,Personal Auto,Four-Door Car,116.600107
East,F,College,8021.0,54292.0,67.0,0.0,Personal Auto,Four-Door Car,321.6
West,M,Bachelor,19606.0,0.0,194.0,0.0,Personal Auto,Luxury Vehicle,931.2
West,F,Bachelor,1904.0,0.0,63.0,3.0,Personal Auto,Four-Door Car,302.4
Central,F,College,7288.0,59414.0,91.0,0.0,Personal Auto,Two-Door Car,340.32278
North West,M,High School or Below,5553.0,96587.0,138.0,0.0,Personal Auto,SUV,749.244062
West,M,Bachelor,11702.0,0.0,111.0,0.0,Personal Auto,SUV,532.8
North West,F,College,36897.0,0.0,133.0,0.0,Personal Auto,SUV,638.4
West,M,College,2957.0,94362.0,74.0,0.0,Personal Auto,Two-Door Car,195.405949
North West,F,Bachelor,19643.0,84488.0,61.0,0.0,Personal Auto,Four-Door Car,208.885686
West,F,College,4111.0,65085.0,103.0,0.0,Personal Auto,Four-Door Car,480.073548
West,F,Bachelor,15122.0,0.0,72.0,0.0,Personal Auto,Two-Door Car,518.4
West,F,College,12807.0,0.0,69.0,0.0,Special Auto,Four-Door Car,450.760925
Central,M,High School or Below,2500.0,0.0,67.0,0.0,Personal Auto,Four-Door Car,664.128009
Central,M,College,4260.0,0.0,62.0,0.0,Personal Auto,Four-Door Car,446.4
West,M,Bachelor,2609.0,60798.0,66.0,0.0,Personal Auto,Four-Door Car,316.8
Central,F,High School or Below,10796.0,30761.0,69.0,2.0,Special Auto,Two-Door Car,331.2
Central,F,College,2590.0,25981.0,65.0,0.0,Personal Auto,Two-Door Car,77.54669
West,M,Bachelor,29199.0,67739.0,149.0,0.0,Personal Auto,SUV,270.373444
Central,F,Doctor,4194.0,25581.0,105.0,0.0,Personal Auto,SUV,429.695284
West,F,High School or Below,10314.0,99759.0,65.0,3.0,Personal Auto,Two-Door Car,74.463101
East,M,High School or Below,9028.0,76514.0,112.0,0.0,Personal Auto,SUV,573.941286
Central,M,Bachelor,3954.0,18375.0,103.0,0.0,Personal Auto,Sports Car,535.080276
West,M,Bachelor,6089.0,21832.0,84.0,0.0,Personal Auto,Four-Door Car,403.2
Central,F,College,12827.0,0.0,117.0,0.0,Personal Auto,Two-Door Car,842.4
West,F,College,9135.0,95330.0,113.0,0.0,Corporate Auto,Sports Car,542.4
West,F,College,7902.0,0.0,106.0,0.0,Personal Auto,SUV,634.396608
West,F,College,14827.0,0.0,68.0,2.0,Personal Auto,Two-Door Car,326.4
North West,M,Bachelor,2500.0,25899.0,63.0,0.0,Personal Auto,Four-Door Car,302.4
Central,F,Bachelor,5395.0,0.0,74.0,0.0,Personal Auto,Four-Door Car,355.2
North West,F,Bachelor,2651.0,33201.0,66.0,0.0,Personal Auto,Two-Door Car,314.044227
West,M,College,2119.0,18287.0,61.0,4.0,Personal Auto,Two-Door Car,292.8
Central,F,Doctor,7155.0,76506.0,89.0,0.0,Personal Auto,Two-Door Car,427.2
West,M,High School or Below,5994.0,41859.0,76.0,0.0,Personal Auto,Two-Door Car,166.1306
North West,M,College,22647.0,27504.0,91.0,0.0,Personal Auto,Four-Door Car,436.8
Central,M,High School or Below,2833.0,45360.0,73.0,0.0,Corporate Auto,Four-Door Car,350.4
West,M,College,22332.0,49078.0,97.0,0.0,Corporate Auto,Four-Door Car,484.013411
West,M,High School or Below,5846.0,0.0,90.0,2.0,Personal Auto,Four-Door Car,648.0
Central,F,College,2867.0,91810.0,71.0,0.0,Corporate Auto,Four-Door Car,165.520952
North West,M,College,14435.0,70600.0,122.0,1.0,Personal Auto,SUV,636.982333
Central,F,College,5237.0,33554.0,131.0,0.0,Special Auto,SUV,934.656068
West,M,Bachelor,7710.0,77642.0,64.0,0.0,Personal Auto,Two-Door Car,282.146354
West,M,College,5158.0,25963.0,66.0,0.0,Personal Auto,Four-Door Car,298.954932
West,F,Bachelor,5414.0,57452.0,136.0,1.0,Personal Auto,SUV,652.8
East,F,Master,2903.0,0.0,77.0,0.0,Personal Auto,Four-Door Car,491.66348
Central,M,High School or Below,5575.0,91416.0,69.0,0.0,Personal Auto,Four-Door Car,109.904496
West,M,Bachelor,2616.0,22000.0,69.0,0.0,Personal Auto,Two-Door Car,383.224514
North West,M,Bachelor,4617.0,41167.0,118.0,0.0,Personal Auto,Four-Door Car,554.957693
North West,M,High School or Below,20123.0,0.0,70.0,0.0,Personal Auto,Four-Door Car,504.0
West,F,Bachelor,3200.0,0.0,86.0,0.0,Corporate Auto,Four-Door Car,412.8
North West,M,College,8583.0,53944.0,71.0,0.0,Personal Auto,Two-Door Car,340.8
Central,F,College,4349.0,75648.0,108.0,0.0,Personal Auto,SUV,112.660916
West,M,Bachelor,4729.0,29414.0,64.0,0.0,Personal Auto,Four-Door Car,71.303109
Central,F,Bachelor,5015.0,48567.0,130.0,0.0,Personal Auto,SUV,624.0
Central,F,Bachelor,5797.0,69276.0,74.0,2.0,Personal Auto,Two-Door Car,201.327931
West,M,High School or Below,3475.0,0.0,96.0,0.0,Personal Auto,Two-Door Car,460.8
Central,F,College,8542.0,50117.0,107.0,0.0,Corporate Auto,Four-Door Car,462.654347
Central,M,Bachelor,16473.0,22828.0,106.0,0.0,Personal Auto,SUV,508.8
North West,F,High School or Below,6776.0,0.0,96.0,0.0,Personal Auto,Four-Door Car,818.730215
North West,F,High School or Below,9713.0,0.0,136.0,0.0,Corporate Auto,SUV,979.2
North West,F,High School or Below,4429.0,20868.0,112.0,0.0,Personal Auto,SUV,537.6
West,F,Bachelor,2435.0,40921.0,62.0,2.0,Corporate Auto,Four-Door Car,10.560419
Central,F,Master,9863.0,99654.0,121.0,0.0,Personal Auto,SUV,272.788141
North West,F,High School or Below,8207.0,0.0,110.0,0.0,Special Auto,Sports Car,686.90827
Central,M,Bachelor,2781.0,56218.0,72.0,2.0,Personal Auto,Four-Door Car,302.942519
Central,F,High School or Below,5807.0,70717.0,72.0,0.0,Personal Auto,Two-Door Car,37.28874
West,M,College,8395.0,62989.0,71.0,1.0,Personal Auto,Four-Door Car,319.131547
Central,M,Master,14333.0,41459.0,71.0,0.0,Personal Auto,Four-Door Car,340.8
West,F,Master,11003.0,0.0,102.0,1.0,Personal Auto,SUV,489.6
North West,M,College,4049.0,42512.0,105.0,1.0,Personal Auto,Four-Door Car,77.479316
Central,M,Bachelor,2141.0,0.0,61.0,0.0,Personal Auto,Four-Door Car,437.040616
Central,F,Doctor,5079.0,83288.0,124.0,0.0,Personal Auto,SUV,353.397699
West,M,High School or Below,2895.0,46267.0,72.0,0.0,Personal Auto,Four-Door Car,231.969205
North West,F,Master,9031.0,0.0,122.0,0.0,Corporate Auto,Sports Car,650.52179
North West,M,Master,6554.0,74424.0,81.0,0.0,Personal Auto,Four-Door Car,388.8
North West,F,College,7487.0,0.0,72.0,0.0,Personal Auto,Four-Door Car,693.084662
Central,M,Doctor,15118.0,58883.0,62.0,0.0,Corporate Auto,Two-Door Car,432.480275
North West,M,High School or Below,9007.0,41539.0,116.0,0.0,Personal Auto,Four-Door Car,556.8
West,F,High School or Below,5488.0,33881.0,68.0,0.0,Personal Auto,Four-Door Car,65.659137
West,F,Bachelor,7234.0,86448.0,90.0,0.0,Personal Auto,Four-Door Car,59.853369
Central,F,College,5205.0,25237.0,69.0,0.0,Personal Auto,Four-Door Car,378.345883
Central,F,High School or Below,4697.0,0.0,67.0,0.0,Special Auto,Four-Door Car,482.4
Central,F,College,6207.0,49419.0,77.0,0.0,Personal Auto,Four-Door Car,203.296071
North West,M,College,6615.0,90414.0,83.0,1.0,Personal Auto,Four-Door Car,398.4
West,M,College,9708.0,39930.0,86.0,1.0,Personal Auto,Four-Door Car,412.8
West,M,Doctor,10831.0,23202.0,96.0,0.0,Personal Auto,Four-Door Car,460.8
West,F,Master,4626.0,79487.0,114.0,0.0,Personal Auto,SUV,547.2
North West,M,Master,6748.0,68423.0,85.0,0.0,Personal Auto,Two-Door Car,324.413656
Central,F,Bachelor,2542.0,84495.0,63.0,0.0,Special Auto,Two-Door Car,302.4
West,M,Doctor,5450.0,43091.0,69.0,1.0,Corporate Auto,Four-Door Car,330.138332
Central,M,High School or Below,7243.0,41951.0,91.0,0.0,Personal Auto,Four-Door Car,40.536151
Central,M,College,8306.0,89834.0,105.0,0.0,Personal Auto,SUV,504.0
Central,M,High School or Below,2734.0,92157.0,69.0,0.0,Corporate Auto,Two-Door Car,270.381385
North West,F,College,11030.0,35773.0,93.0,0.0,Personal Auto,Four-Door Car,446.4
Central,M,High School or Below,3402.0,0.0,99.0,0.0,Personal Auto,Two-Door Car,475.2
North West,F,High School or Below,6945.0,15850.0,61.0,0.0,Corporate Auto,Two-Door Car,314.528138
Central,F,Bachelor,2568.0,11167.0,73.0,3.0,Personal Auto,Two-Door Car,350.4
North West,M,High School or Below,5764.0,21195.0,72.0,0.0,Corporate Auto,Four-Door Car,345.6
North West,F,Master,5403.0,27430.0,68.0,0.0,Personal Auto,Two-Door Car,184.955105
West,F,High School or Below,4899.0,0.0,63.0,0.0,Personal Auto,Two-Door Car,302.4
North West,M,High School or Below,9048.0,0.0,119.0,0.0,Personal Auto,Sports Car,571.2
East,M,High School or Below,8093.0,59839.0,107.0,2.0,Personal Auto,SUV,513.6
West,M,College,2496.0,0.0,73.0,0.0,Corporate Auto,Two-Door Car,350.4
West,M,College,2602.0,38166.0,67.0,1.0,Corporate Auto,Four-Door Car,236.842746
East,M,High School or Below,6751.0,0.0,95.0,0.0,Personal Auto,Four-Door Car,456.0
North West,F,Bachelor,3621.0,13457.0,94.0,0.0,Personal Auto,Two-Door Car,285.825083
West,M,College,6896.0,0.0,68.0,0.0,Personal Auto,Two-Door Car,326.4
West,F,Bachelor,5438.0,52721.0,136.0,0.0,Personal Auto,SUV,550.127548
North West,F,College,14472.0,22012.0,185.0,0.0,Corporate Auto,Luxury Vehicle,75.698305
Central,F,Bachelor,2359.0,19864.0,63.0,0.0,Corporate Auto,Four-Door Car,352.394515
Central,F,College,5323.0,55289.0,67.0,0.0,Personal Auto,Four-Door Car,134.124254
West,M,College,7390.0,30449.0,92.0,0.0,Personal Auto,Four-Door Car,501.092992
West,F,Bachelor,11447.0,27362.0,144.0,0.0,Personal Auto,SUV,422.78411
North West,F,High School or Below,5754.0,29460.0,72.0,0.0,Personal Auto,Four-Door Car,29.303915
North West,F,College,10244.0,0.0,94.0,0.0,Personal Auto,Four-Door Car,451.2
West,M,Master,4645.0,42532.0,118.0,0.0,Personal Auto,Sports Car,200.641734
West,F,High School or Below,4887.0,66707.0,61.0,0.0,Personal Auto,Two-Door Car,71.980757
East,M,Bachelor,2497.0,68041.0,64.0,0.0,Personal Auto,Two-Door Car,165.570243
Central,M,Bachelor,2369.0,0.0,65.0,0.0,Corporate Auto,Four-Door Car,468.0
West,M,Bachelor,4490.0,0.0,64.0,1.0,Personal Auto,Four-Door Car,307.2
Central,M,High School or Below,3719.0,40968.0,97.0,1.0,Personal Auto,Four-Door Car,465.6
Central,M,Bachelor,4198.0,39913.0,106.0,0.0,Personal Auto,SUV,344.765129
West,M,Bachelor,2420.0,31710.0,62.0,0.0,Corporate Auto,Two-Door Car,199.551735
West,F,Bachelor,4462.0,0.0,73.0,3.0,Personal Auto,Two-Door Car,350.4
West,F,Bachelor,6291.0,89113.0,78.0,0.0,Personal Auto,Four-Door Car,219.362643
Central,M,College,4270.0,0.0,122.0,0.0,Personal Auto,SUV,725.870693
West,F,Bachelor,2460.0,0.0,67.0,0.0,Personal Auto,Four-Door Car,321.6
Central,F,High School or Below,19435.0,38688.0,249.0,0.0,Special Auto,Luxury Vehicle,2294.631639
North West,F,College,7374.0,0.0,110.0,4.0,Personal Auto,SUV,528.0
West,F,Bachelor,18269.0,0.0,127.0,0.0,Corporate Auto,SUV,609.6
North West,M,High School or Below,11925.0,28014.0,104.0,0.0,Personal Auto,SUV,631.594469
Central,F,College,4223.0,14170.0,109.0,0.0,Personal Auto,SUV,523.2
North West,M,High School or Below,10298.0,64825.0,129.0,0.0,Personal Auto,SUV,359.484342
West,M,Bachelor,5229.0,77357.0,67.0,0.0,Personal Auto,Four-Door Car,29.884537
Central,M,Bachelor,2402.0,21629.0,62.0,0.0,Corporate Auto,Two-Door Car,298.626189
East,M,High School or Below,3933.0,25927.0,103.0,0.0,Personal Auto,SUV,674.973614
North West,M,College,4299.0,44388.0,113.0,1.0,Personal Auto,Four-Door Car,496.843023
North West,F,College,7635.0,54539.0,63.0,0.0,Personal Auto,Four-Door Car,287.453171
West,F,College,2722.0,17576.0,71.0,0.0,Corporate Auto,Four-Door Car,398.502948
Central,F,Master,7291.0,84629.0,90.0,0.0,Personal Auto,Four-Door Car,411.671832
Central,F,Bachelor,58753.0,24964.0,185.0,0.0,Personal Auto,SUV,888.0
North West,F,High School or Below,5261.0,43573.0,66.0,0.0,Personal Auto,Two-Door Car,409.684798
Central,F,College,16938.0,0.0,69.0,0.0,Corporate Auto,Four-Door Car,340.780156
North West,M,College,10575.0,0.0,105.0,0.0,Special Auto,Four-Door Car,756.0
North West,F,College,5552.0,35011.0,70.0,0.0,Personal Auto,Four-Door Car,215.728468
North West,M,Bachelor,7150.0,63651.0,92.0,0.0,Personal Auto,Four-Door Car,224.711836
East,M,College,8717.0,83846.0,74.0,3.0,Personal Auto,Four-Door Car,355.2
West,M,Bachelor,6847.0,0.0,191.0,0.0,Personal Auto,Luxury Vehicle,1317.008182
Central,F,College,5418.0,39133.0,67.0,0.0,Personal Auto,Four-Door Car,90.524457
West,M,Doctor,3528.0,31278.0,92.0,4.0,Personal Auto,Two-Door Car,441.6
West,F,High School or Below,16468.0,0.0,63.0,0.0,Personal Auto,Four-Door Car,685.12694
North West,M,High School or Below,7285.0,44788.0,61.0,0.0,Personal Auto,Four-Door Car,386.031248
North West,F,Bachelor,16963.0,0.0,117.0,0.0,Corporate Auto,SUV,561.6
West,F,College,5807.0,62447.0,74.0,0.0,Personal Auto,Two-Door Car,133.977857
North West,M,College,5068.0,31475.0,64.0,1.0,Personal Auto,Four-Door Car,22.962412
Central,F,College,8797.0,80780.0,109.0,0.0,Corporate Auto,SUV,3.55
North West,F,Bachelor,4439.0,88613.0,111.0,0.0,Personal Auto,SUV,359.36848
West,M,College,2404.0,45949.0,62.0,0.0,Corporate Auto,Two-Door Car,110.556062
Central,F,Bachelor,5066.0,35596.0,64.0,0.0,Personal Auto,Two-Door Car,307.2
West,M,High School or Below,5890.0,76875.0,73.0,0.0,Personal Auto,Four-Door Car,17.375878
West,M,Bachelor,2410.0,41842.0,61.0,0.0,Corporate Auto,Two-Door Car,292.8
West,M,Bachelor,5288.0,28884.0,72.0,1.0,Corporate Auto,Four-Door Car,518.4
Central,F,High School or Below,26413.0,24631.0,83.0,1.0,Personal Auto,Four-Door Car,398.4
Central,F,College,16236.0,0.0,74.0,2.0,Personal Auto,Four-Door Car,680.753091
Central,F,Bachelor,5534.0,71560.0,69.0,0.0,Personal Auto,Two-Door Car,178.700204
Central,M,Master,9202.0,0.0,80.0,0.0,Personal Auto,Four-Door Car,384.0
North West,M,High School or Below,2592.0,72421.0,65.0,0.0,Personal Auto,Four-Door Car,312.0
Central,F,Master,8019.0,54702.0,199.0,0.0,Personal Auto,SUV,955.2
West,F,High School or Below,6943.0,0.0,76.0,5.0,Special Auto,Four-Door Car,547.2
North West,F,High School or Below,13367.0,57335.0,67.0,0.0,Personal Auto,Two-Door Car,407.887715
Central,M,College,5885.0,0.0,67.0,3.0,Personal Auto,Two-Door Car,482.4
West,M,High School or Below,3479.0,35033.0,87.0,0.0,Personal Auto,Two-Door Car,490.638202
Central,M,College,9103.0,65733.0,113.0,0.0,Personal Auto,Four-Door Car,684.948527
West,M,Bachelor,4813.0,0.0,69.0,0.0,Special Auto,Four-Door Car,472.611522
Central,F,College,9575.0,0.0,88.0,0.0,Personal Auto,Four-Door Car,633.6
Central,F,Master,13736.0,16181.0,181.0,0.0,Personal Auto,SUV,1261.319869
Central,M,High School or Below,8090.0,86180.0,69.0,4.0,Personal Auto,Four-Door Car,48.051339
Central,M,High School or Below,8267.0,36881.0,104.0,0.0,Special Auto,SUV,499.2
North West,F,High School or Below,2489.0,47888.0,64.0,1.0,Personal Auto,Four-Door Car,545.083116
North West,F,Doctor,2395.0,21986.0,63.0,0.0,Personal Auto,Two-Door Car,333.696228
East,F,College,3863.0,47199.0,100.0,3.0,Corporate Auto,SUV,480.0
North West,F,College,5173.0,0.0,69.0,0.0,Personal Auto,Four-Door Car,331.2
West,M,Bachelor,4984.0,86305.0,62.0,0.0,Personal Auto,Four-Door Car,80.73124
East,F,High School or Below,2396.0,39062.0,61.0,0.0,Corporate Auto,Two-Door Car,346.991025
West,F,College,2631.0,16976.0,69.0,0.0,Personal Auto,Four-Door Car,238.952528
West,F,High School or Below,6993.0,0.0,65.0,2.0,Corporate Auto,Four-Door Car,468.0
Central,M,College,15055.0,83283.0,193.0,1.0,Personal Auto,Luxury Vehicle,273.702709
West,M,High School or Below,3401.0,41972.0,86.0,0.0,Personal Auto,Four-Door Car,691.709371
West,M,College,4126.0,34080.0,107.0,1.0,Personal Auto,Four-Door Car,220.644418
West,F,Bachelor,4462.0,0.0,73.0,3.0,Corporate Auto,Two-Door Car,350.4
West,M,College,9320.0,40269.0,81.0,2.0,Personal Auto,Four-Door Car,329.980754
North West,F,Bachelor,3663.0,61894.0,91.0,0.0,Corporate Auto,Four-Door Car,436.8
West,F,College,4962.0,23300.0,63.0,1.0,Corporate Auto,Four-Door Car,339.906034
North West,F,Bachelor,2816.0,66023.0,70.0,0.0,Personal Auto,Two-Door Car,265.629611
Central,F,Bachelor,4330.0,39660.0,107.0,0.0,Corporate Auto,Sports Car,416.8496
Central,F,College,8262.0,0.0,76.0,1.0,Personal Auto,Four-Door Car,32.508635
North West,M,Bachelor,4666.0,60466.0,117.0,0.0,Personal Auto,Four-Door Car,784.186389
North West,F,College,5876.0,32848.0,74.0,0.0,Personal Auto,Four-Door Car,250.454012
North West,M,Bachelor,8427.0,20662.0,72.0,0.0,Personal Auto,Two-Door Car,373.324673
Central,F,High School or Below,13023.0,64985.0,108.0,0.0,Personal Auto,Two-Door Car,16.425514
North West,M,High School or Below,8209.0,68022.0,103.0,0.0,Personal Auto,Sports Car,494.4
West,M,College,2464.0,72834.0,65.0,3.0,Corporate Auto,Four-Door Car,91.941259
East,F,Doctor,2727.0,74592.0,67.0,0.0,Personal Auto,Two-Door Car,321.6
West,F,College,3086.0,73938.0,76.0,0.0,Personal Auto,Two-Door Car,53.095599
West,M,College,22067.0,15999.0,83.0,0.0,Personal Auto,Four-Door Car,398.4
North West,F,College,4836.0,0.0,69.0,0.0,Personal Auto,Four-Door Car,632.081402
North West,M,College,6912.0,0.0,96.0,0.0,Personal Auto,Four-Door Car,460.8
West,M,Master,2570.0,0.0,72.0,3.0,Personal Auto,Two-Door Car,345.6
Central,F,Bachelor,2991.0,0.0,80.0,0.0,Corporate Auto,Four-Door Car,576.0
Central,F,High School or Below,8253.0,62375.0,103.0,1.0,Personal Auto,SUV,411.228571
Central,M,Doctor,10477.0,61427.0,88.0,0.0,Personal Auto,Four-Door Car,422.4
West,M,High School or Below,16373.0,64396.0,103.0,0.0,Special Auto,SUV,355.409311
West,F,College,5184.0,49312.0,65.0,1.0,Corporate Auto,Four-Door Car,230.104769
West,F,High School or Below,10634.0,0.0,61.0,0.0,Personal Auto,Two-Door Car,292.8
West,F,High School or Below,15114.0,28513.0,100.0,1.0,Personal Auto,SUV,480.0
West,M,High School or Below,11875.0,0.0,108.0,0.0,Personal Auto,SUV,518.4
West,M,College,4369.0,97321.0,110.0,0.0,Personal Auto,Four-Door Car,74.744643
West,F,College,7432.0,58839.0,65.0,3.0,Personal Auto,Two-Door Car,18.965718
Central,M,High School or Below,2558.0,0.0,72.0,0.0,Corporate Auto,Four-Door Car,518.4
Central,M,Bachelor,5452.0,88567.0,67.0,0.0,Personal Auto,Four-Door Car,321.6
Central,M,College,2968.0,91646.0,74.0,0.0,Corporate Auto,Two-Door Car,57.678779
West,M,High School or Below,15700.0,0.0,211.0,0.0,Personal Auto,Luxury Vehicle,1012.8
Central,F,High School or Below,7477.0,48552.0,94.0,0.0,Corporate Auto,Four-Door Car,262.746281
North West,M,Bachelor,9407.0,31485.0,118.0,0.0,Personal Auto,SUV,294.905685
Central,M,High School or Below,4428.0,0.0,64.0,0.0,Personal Auto,Four-Door Car,628.801638
Central,M,College,10053.0,16511.0,135.0,0.0,Personal Auto,SUV,972.0
West,F,College,2907.0,51020.0,73.0,0.0,Personal Auto,Four-Door Car,350.4
West,M,College,7644.0,43838.0,97.0,0.0,Corporate Auto,Four-Door Car,465.6
North West,M,College,9709.0,0.0,133.0,0.0,Corporate Auto,SUV,827.085431
East,M,Bachelor,8439.0,22454.0,110.0,2.0,Personal Auto,SUV,556.097027
Central,F,Bachelor,4209.0,57933.0,105.0,0.0,Personal Auto,SUV,533.255723
Central,M,College,8556.0,0.0,124.0,3.0,Personal Auto,SUV,595.2
Central,F,College,26770.0,26335.0,113.0,1.0,Personal Auto,SUV,355.818306
Central,F,Bachelor,16265.0,85322.0,134.0,0.0,Personal Auto,SUV,735.491986
West,M,High School or Below,3624.0,37843.0,92.0,0.0,Personal Auto,Four-Door Car,354.455466
North West,M,Bachelor,2519.0,0.0,67.0,0.0,Personal Auto,Four-Door Car,482.4
Central,M,College,4819.0,74730.0,61.0,0.0,Personal Auto,Four-Door Car,421.235276
North West,M,High School or Below,3028.0,0.0,94.0,1.0,Special Auto,Four-Door Car,483.881752
North West,M,Bachelor,2316.0,0.0,64.0,0.0,Personal Auto,Four-Door Car,307.2
North West,M,College,13869.0,28432.0,118.0,0.0,Personal Auto,SUV,612.300581
East,F,College,25807.0,71210.0,214.0,1.0,Personal Auto,Luxury Vehicle,1027.2
Central,M,Bachelor,2342.0,19581.0,67.0,0.0,Corporate Auto,Four-Door Car,321.6
North West,M,Bachelor,2747.0,0.0,80.0,0.0,Special Auto,Two-Door Car,576.0
North West,M,Master,5479.0,56005.0,68.0,1.0,Personal Auto,Four-Door Car,326.4
West,F,College,9199.0,0.0,80.0,0.0,Personal Auto,Four-Door Car,572.847549
Central,M,High School or Below,8060.0,23671.0,69.0,0.0,Personal Auto,Four-Door Car,331.2
Central,M,High School or Below,6686.0,22244.0,84.0,0.0,Personal Auto,Four-Door Car,114.815893
East,F,High School or Below,4709.0,0.0,66.0,0.0,Personal Auto,Four-Door Car,470.576119
Central,M,High School or Below,2685.0,75329.0,67.0,0.0,Corporate Auto,Four-Door Car,45.905292
Central,F,High School or Below,3920.0,0.0,108.0,1.0,Personal Auto,Two-Door Car,525.392239
West,F,College,5493.0,44369.0,68.0,0.0,Personal Auto,Four-Door Car,185.291566
West,M,High School or Below,8521.0,37910.0,108.0,0.0,Personal Auto,Four-Door Car,518.4
West,M,High School or Below,2414.0,0.0,71.0,0.0,Personal Auto,Four-Door Car,511.2
Central,F,College,4282.0,40864.0,109.0,1.0,Personal Auto,SUV,166.937747
North West,F,College,5918.0,94846.0,73.0,0.0,Corporate Auto,Two-Door Car,305.031114
West,M,High School or Below,7519.0,96306.0,95.0,1.0,Personal Auto,Four-Door Car,185.355353
Central,F,Doctor,4472.0,53519.0,111.0,0.0,Corporate Auto,SUV,520.036279
Central,M,Bachelor,5531.0,50648.0,69.0,1.0,Personal Auto,Two-Door Car,331.2
North West,M,Bachelor,8435.0,64692.0,70.0,0.0,Corporate Auto,Two-Door Car,336.0
